"","FIPS","per_vax","per_dem"
"1",1001,0.324,0.270183651422398
"2",1003,0.386,0.22409029987509
"3",1005,0.328,0.457881726563986
"4",1007,0.281,0.206982803543512
"5",1009,0.233,0.0956937799043062
"6",1011,0.422,0.747019293301539
"7",1013,0.331,0.41789629005059
"8",1015,0.358,0.298452425318243
"9",1017,0.244,0.416448573671814
"10",1019,0.259,0.132021786846598
"11",1021,0.263,0.159140341791818
"12",1023,0.501,0.418944265809218
"13",1025,0.379,0.438142367719833
"14",1027,0.34,0.182828282828283
"15",1029,0.245,0.0933997509339975
"16",1031,0.289,0.227878787878788
"17",1033,0.388,0.299182385426379
"18",1035,0.354,0.460487501940692
"19",1037,0.334,0.327797043256069
"20",1039,0.278,0.156110154905336
"21",1041,0.286,0.256914009369805
"22",1043,0.296,0.106998638025376
"23",1045,0.396,0.261931300030398
"24",1047,0.361,0.6846171070309
"25",1049,0.248,0.145830494617795
"26",1051,0.355,0.252668778942237
"27",1053,0.282,0.309113764927718
"28",1055,0.317,0.242352497485753
"29",1057,0.273,0.159137577002053
"30",1059,0.346,0.165845126411194
"31",1061,0.295,0.127142287764049
"32",1063,0.423,0.813403141361257
"33",1065,0.474,0.591643524362535
"34",1067,0.359,0.280275328027533
"35",1069,0.329,0.279752236155329
"36",1071,0.376,0.157260111694026
"37",1073,0.483,0.557585131717856
"38",1075,0.33,0.135965522035312
"39",1077,0.397,0.268725050181556
"40",1079,0.367,0.222194498159815
"41",1081,0.323,0.38992848045459
"42",1083,0.281,0.277688636132832
"43",1085,0.424,0.727432333577176
"44",1087,0.398,0.814857273873667
"45",1089,0.502,0.44815600178675
"46",1091,0.423,0.50348623853211
"47",1093,0.28,0.105960744549866
"48",1095,0.334,0.149867608120035
"49",1097,0.362,0.433895306938045
"50",1099,0.338,0.417604049493813
"51",1101,0.434,0.650894199053854
"52",1103,0.345,0.24634228062991
"53",1105,0.389,0.738049713193117
"54",1107,0.385,0.416011584609019
"55",1109,0.325,0.407196011848855
"56",1111,0.271,0.203285041985789
"57",1113,0.305,0.526419428946505
"58",1115,0.3,0.17425350464661
"59",1117,0.291,0.289412788168769
"60",1119,0.423,0.738833253854713
"61",1121,0.29,0.368393012365757
"62",1123,0.316,0.279119622695441
"63",1125,0.347,0.418810717295835
"64",1127,0.371,0.155085017645172
"65",1129,0.323,0.254393871113114
"66",1131,0.429,0.685753006945621
"67",1133,0.174,0.0863169088975541
"68",4001,0.672,0.662052695904272
"69",4003,0.516,0.392439601144312
"70",4005,0.67,0.609412919586617
"71",4007,0.515,0.323108606113158
"72",4009,0.489,0.269005068018138
"73",4011,0.351,0.320498915401302
"74",4012,0.421,0.299731903485255
"75",4013,0.478,0.502916923374286
"76",4015,0.365,0.237151998471897
"77",4017,0.565,0.45155746094278
"78",4019,0.583,0.585674095269187
"79",4021,0.425,0.405897198938591
"80",4023,0.838,0.671642554061653
"81",4025,0.436,0.346189279731993
"82",4027,0.549,0.460629808654864
"83",5001,0.409,0.28893833439288
"84",5003,0.36,0.26810497098158
"85",5005,0.381,0.220640738801352
"86",5007,0.411,0.352333377810394
"87",5009,0.289,0.17903470842585
"88",5011,0.431,0.33223864258347
"89",5013,0.255,0.219523373052246
"90",5015,0.337,0.34101890311096
"91",5017,0.419,0.550816475749452
"92",5019,0.374,0.409529481834425
"93",5021,0.35,0.185606791433533
"94",5023,0.343,0.156782334384858
"95",5025,0.375,0.180833333333333
"96",5027,0.34,0.326601671309192
"97",5029,0.417,0.301093839953944
"98",5031,0.334,0.309547921373114
"99",5033,0.308,0.205844506247146
"100",5035,0.306,0.520193071424207
"101",5037,0.365,0.255257850763469
"102",5039,0.415,0.363533408833522
"103",5041,0.449,0.484149855907781
"104",5043,0.357,0.351187029530979
"105",5045,0.378,0.337087528477989
"106",5047,0.347,0.182353766306635
"107",5049,0.242,0.202187927329557
"108",5051,0.368,0.317767370302496
"109",5053,0.339,0.154634146341463
"110",5055,0.319,0.189937888198758
"111",5057,0.227,0.312207943925234
"112",5059,0.318,0.245440789997611
"113",5061,0.337,0.277203144393877
"114",5063,0.293,0.193357221609702
"115",5065,0.284,0.175731497418244
"116",5067,0.293,0.268120212139069
"117",5069,0.33,0.595476587964067
"118",5071,0.346,0.240366392924826
"119",5073,0.265,0.31317655841732
"120",5075,0.325,0.184394741335155
"121",5077,0.27,0.499648876404494
"122",5079,0.254,0.266322580645161
"123",5081,0.22,0.236816689202241
"124",5083,0.329,0.187720364741641
"125",5085,0.355,0.218054921401083
"126",5087,0.31,0.212624132771052
"127",5089,0.288,0.204051712648274
"128",5091,0.103,0.256821344303951
"129",5093,0.292,0.369308053800032
"130",5095,0.427,0.407315340909091
"131",5097,0.294,0.188742576813839
"132",5099,0.293,0.320428826682549
"133",5101,0.269,0.177338669334667
"134",5103,0.386,0.414892512202721
"135",5105,0.389,0.218716230819105
"136",5107,0.345,0.580422941364947
"137",5109,0.325,0.151672162034856
"138",5111,0.322,0.189336524398351
"139",5113,0.266,0.146760895170789
"140",5115,0.368,0.236247544204322
"141",5117,0.33,0.187124463519313
"142",5119,0.46,0.59984348890301
"143",5121,0.264,0.178361714621257
"144",5123,0.362,0.507034327518289
"145",5125,0.381,0.281957197282256
"146",5127,0.289,0.136018023092087
"147",5129,0.297,0.146305051007713
"148",5131,0.305,0.307318625371235
"149",5133,0.299,0.214532871972318
"150",5135,0.307,0.1847739888977
"151",5137,0.312,0.198720107780397
"152",5139,0.377,0.336243752634431
"153",5141,0.333,0.20404764954528
"154",5143,0.424,0.46489720577939
"155",5145,0.34,0.193556742755383
"156",5147,0.422,0.345718901453958
"157",5149,0.326,0.19047619047619
"158",6001,0.699,0.802296249727225
"159",6003,NA,0.642375168690958
"160",6005,0.547,0.365572594386154
"161",6007,0.439,0.494169067638815
"162",6009,0.523,0.369827713149757
"163",6011,0.471,0.406741290403723
"164",6013,0.664,0.716387660650689
"165",6015,0.328,0.408400279427174
"166",6017,0.53,0.444479842945461
"167",6019,0.48,0.529112494483415
"168",6021,0.426,0.353790294013461
"169",6023,0.549,0.650432963328878
"170",6025,0.66,0.611410839592369
"171",6027,NA,0.48876700769961
"172",6029,0.395,0.436941807054445
"173",6031,0.351,0.426353230881481
"174",6033,0.472,0.518784722222222
"175",6035,0.287,0.233541927409262
"176",6037,0.59,0.710431686315497
"177",6039,0.43,0.431257213059827
"178",6041,0.787,0.82340934910559
"179",6043,NA,0.397665369649805
"180",6045,0.562,0.664159128669005
"181",6047,0.412,0.541091881026275
"182",6049,NA,0.265099124020286
"183",6051,NA,0.595665726584533
"184",6053,0.582,0.695331425468169
"185",6055,0.686,0.690732370150578
"186",6057,0.547,0.561633043961815
"187",6059,0.604,0.534925167162266
"188",6061,0.552,0.45472880685227
"189",6063,NA,0.405206112295665
"190",6065,0.461,0.529982251775826
"191",6067,0.536,0.613690849099946
"192",6069,0.514,0.611637347767253
"193",6071,0.442,0.542088470992269
"194",6073,0.862,0.602258069752429
"195",6075,0.757,0.852743664563499
"196",6077,0.525,0.558644168865252
"197",6079,0.526,0.55304012374672
"198",6081,0.735,0.778883727394705
"199",6083,0.598,0.648880611918837
"200",6085,0.738,0.72657379820863
"201",6087,0.687,0.78901350866046
"202",6089,0.414,0.322927879440258
"203",6091,NA,0.378238341968912
"204",6093,0.459,0.40908315565032
"205",6095,0.584,0.639548950352474
"206",6097,0.671,0.745336474658157
"207",6099,0.527,0.492567806548893
"208",6101,0.465,0.407293621013133
"209",6103,0.32,0.310260784791616
"210",6105,NA,0.45557686161713
"211",6107,0.396,0.450208401438379
"212",6109,0.516,0.394000197361929
"213",6111,0.608,0.594722473255137
"214",6113,0.594,0.694995064977792
"215",6115,0.391,0.377010105079397
"216",8001,0.374,0.566887025577122
"217",8003,0.301,0.481429303278689
"218",8005,NA,0.60998677834161
"219",8007,0.299,0.408792650918635
"220",8009,NA,0.14247191011236
"221",8011,NA,0.321899736147757
"222",8013,NA,0.771860793455953
"223",8014,NA,0.623541773889175
"224",8015,NA,0.521980024786761
"225",8017,NA,0.115316901408451
"226",8019,0.276,0.550397067806964
"227",8021,NA,0.452111700900069
"228",8023,0.33,0.626074498567335
"229",8025,NA,0.249714285714286
"230",8027,NA,0.305998899284535
"231",8029,NA,0.303923593185338
"232",8031,0.455,0.795509195662055
"233",8033,0.235,0.235334713595583
"234",8035,NA,0.451871553849542
"235",8037,0.447,0.637886067261496
"236",8039,NA,0.236527419269873
"237",8041,0.39,0.427455265818308
"238",8043,NA,0.28833587666784
"239",8045,0.33,0.49919104323065
"240",8047,0.401,0.531055900621118
"241",8049,0.416,0.477203647416413
"242",8051,0.37,0.637354781054513
"243",8053,0.296,0.403481012658228
"244",8055,NA,0.471175669541534
"245",8057,NA,0.199771689497717
"246",8059,0.489,0.57875168606916
"247",8061,0.167,0.108527131782946
"248",8063,NA,0.171015241539654
"249",8065,0.386,0.581418833627872
"250",8067,NA,0.576106765357333
"251",8069,NA,0.562187413634783
"252",8071,NA,0.439266423816103
"253",8073,0.171,0.17729158807997
"254",8075,NA,0.210596278009875
"255",8077,NA,0.347994968109289
"256",8079,0.411,0.419312169312169
"257",8081,0.222,0.171221178479932
"258",8083,0.354,0.376516129032258
"259",8085,NA,0.308442340101115
"260",8087,0.268,0.282013969732247
"261",8089,NA,0.376461988304094
"262",8091,NA,0.588308457711443
"263",8093,NA,0.398942229454841
"264",8095,0.263,0.195573440643863
"265",8097,0.512,0.751777201639207
"266",8099,0.209,0.262183060600611
"267",8101,NA,0.495724753394716
"268",8103,NA,0.151991330262801
"269",8105,NA,0.395717684377478
"270",8107,0.485,0.62704432329936
"271",8109,NA,0.55591619946887
"272",8111,0.624,0.607460035523979
"273",8113,0.592,0.762385855838352
"274",8115,0.294,0.208160442600277
"275",8117,0.603,0.683532658693652
"276",8119,NA,0.311588641596316
"277",8121,NA,0.122672872340426
"278",8123,NA,0.395644674428633
"279",8125,0.224,0.157598875727766
"280",9001,0.697,0.628987927863168
"281",9003,0.649,0.630637206900849
"282",9005,0.665,0.466450941010191
"283",9007,0.738,0.573047186073002
"284",9009,0.655,0.580479927269247
"285",9011,0.67,0.569174235695252
"286",9013,0.588,0.546346187271869
"287",9015,0.539,0.467806647160853
"288",10001,0.445,0.511944843435794
"289",10003,0.593,0.678065451460716
"290",10005,0.589,0.438199641288886
"291",11001,0.593,0.921496939214069
"292",12001,0.553,0.629042663599899
"293",12003,0.247,0.14488939469379
"294",12005,0.38,0.275348297213622
"295",12007,0.323,0.231807511737089
"296",12009,0.528,0.41176226009247
"297",12011,0.588,0.646100126139221
"298",12013,0.275,0.185258964143426
"299",12015,0.622,0.363357400722022
"300",12017,0.487,0.290661745772895
"301",12019,0.372,0.308002089948153
"302",12021,0.604,0.37350470122896
"303",12023,0.311,0.269777858483143
"304",12027,0.394,0.336440477130895
"305",12029,0.295,0.167136035263867
"306",12031,0.46,0.512471084777404
"307",12033,0.42,0.416318409128261
"308",12035,0.538,0.39267388030565
"309",12037,0.378,0.309534238574974
"310",12039,0.452,0.679782846561737
"311",12041,0.266,0.175529168817759
"312",12043,0.248,0.266705180050067
"313",12045,0.392,0.243170403038099
"314",12047,0.279,0.336706689536878
"315",12049,0.299,0.270830878020035
"316",12051,0.364,0.380911901081917
"317",12053,0.437,0.344457501698463
"318",12055,0.47,0.324669350201265
"319",12057,0.506,0.528558568553625
"320",12059,0.247,0.101896779885311
"321",12061,0.606,0.388207295556194
"322",12063,0.35,0.301797582407779
"323",12065,0.538,0.461128860489883
"324",12067,0.289,0.139420448332422
"325",12069,0.552,0.395170220619552
"326",12071,0.523,0.40034374293918
"327",12073,0.471,0.63535036733792
"328",12075,0.361,0.268092460574638
"329",12077,0.275,0.194889076102218
"330",12079,0.36,0.399466950959488
"331",12081,0.517,0.415591957890467
"332",12083,0.457,0.366275883665401
"333",12085,0.564,0.373690821060308
"334",12086,0.688,0.534107412068989
"335",12087,0.674,0.455578921068521
"336",12089,0.45,0.26464436925065
"337",12091,0.444,0.294295068443711
"338",12093,0.361,0.275166102544816
"339",12095,0.547,0.610151636615833
"340",12097,0.556,0.56424992460971
"341",12099,0.554,0.560780590771873
"342",12101,0.475,0.394320627876941
"343",12103,0.547,0.495698703804615
"344",12105,0.438,0.422567995898105
"345",12107,0.318,0.289417974871471
"346",12109,0.56,0.361506494094733
"347",12111,0.474,0.488688439846895
"348",12113,0.399,0.258229836899596
"349",12115,0.648,0.443906495426407
"350",12117,0.492,0.508130283917719
"351",12119,0.748,0.317251446180462
"352",12121,0.289,0.212993303889443
"353",12123,0.31,0.227016885553471
"354",12125,0.349,0.168614891913531
"355",12127,0.491,0.424718399422324
"356",12129,0.377,0.290752010432515
"357",12131,0.381,0.236507972821487
"358",12133,0.265,0.190395067737487
"359",13001,0.071,0.212634088200238
"360",13003,NA,0.26148969889065
"361",13005,NA,0.133919005785301
"362",13007,0.263,0.419292604501608
"363",13009,0.069,0.500794477014958
"364",13011,0.082,0.105897057152596
"365",13013,NA,0.275652013396271
"366",13015,0.098,0.239596544071021
"367",13017,0.061,0.364564290067032
"368",13019,NA,0.163889965129795
"369",13021,0.2,0.613852985264587
"370",13023,0.043,0.229852838121934
"371",13025,0.072,0.0903342366757001
"372",13027,0.248,0.393043233347416
"373",13029,0.284,0.315819076634638
"374",13031,0.222,0.373811897640412
"375",13033,0.329,0.48750351024993
"376",13035,0.081,0.278141194460963
"377",13037,0.108,0.574613284804368
"378",13039,0.345,0.336359030651017
"379",13043,0.11,0.286391333784699
"380",13045,0.168,0.298061389337641
"381",13047,0.113,0.21268370509005
"382",13049,NA,0.241900175131349
"383",13051,0.393,0.586524046533941
"384",13053,0.999,0.421618204804045
"385",13055,NA,0.184477611940299
"386",13057,0.248,0.295404481579947
"387",13059,0.175,0.702196860514938
"388",13061,0.24,0.551219512195122
"389",13063,0.142,0.849870916050921
"390",13065,0.257,0.260048933939182
"391",13067,0.351,0.56345243416775
"392",13069,0.209,0.29650322071776
"393",13071,0.117,0.26047494715902
"394",13073,0.218,0.36279242941359
"395",13075,0.296,0.292679459843639
"396",13077,0.212,0.315238479667704
"397",13079,0.126,0.264667322189446
"398",13081,0.113,0.37121872276858
"399",13083,0.143,0.169626042507398
"400",13085,0.066,0.154592376096014
"401",13087,0.281,0.411354838709677
"402",13089,0.277,0.831194402636846
"403",13091,0.046,0.269111634246066
"404",13093,0.116,0.465529841656516
"405",13095,NA,0.696233740470995
"406",13097,0.224,0.619540994993199
"407",13099,0.082,0.472243639167309
"408",13101,0.096,0.11589174184594
"409",13103,0.171,0.244464856989009
"410",13105,0.124,0.313924326681932
"411",13107,0.204,0.303629668595476
"412",13109,0.143,0.311749470214269
"413",13111,0.16,0.173075627988417
"414",13113,0.285,0.459232713837264
"415",13115,NA,0.288261048353934
"416",13117,0.171,0.326406879538477
"417",13119,NA,0.147979563399907
"418",13121,0.26,0.725901572991662
"419",13123,NA,0.177428139183056
"420",13125,0.078,0.0990415335463259
"421",13127,0.401,0.37825092883681
"422",13129,NA,0.182415844879957
"423",13131,0.085,0.338003175492668
"424",13133,0.363,0.363482746353611
"425",13135,0.258,0.584494098153967
"426",13137,0.12,0.174342910283393
"427",13139,0.237,0.276494692777538
"428",13141,0.065,0.716590416566338
"429",13143,0.086,0.125719500210585
"430",13145,0.149,0.272972837777
"431",13147,0.228,0.248035826524199
"432",13149,NA,0.152762328513163
"433",13151,0.149,0.597107270036911
"434",13153,0.33,0.430783826398354
"435",13155,0.072,0.241842610364683
"436",13157,0.182,0.202840079628401
"437",13159,0.107,0.230376766091052
"438",13161,0.045,0.178132039507884
"439",13163,0.209,0.531221364052887
"440",13165,0.141,0.366425470332851
"441",13167,0.086,0.298048780487805
"442",13169,0.171,0.326905048881746
"443",13171,0.072,0.289662797125484
"444",13173,0.069,0.284955257270693
"445",13175,0.153,0.355197747569399
"446",13177,NA,0.272705516333613
"447",13179,0.354,0.612508179863513
"448",13181,0.131,0.308554190907132
"449",13183,0.036,0.35973130634612
"450",13185,0.195,0.433955344623018
"451",13187,NA,0.201274869615608
"452",13189,0.114,0.398660927785748
"453",13191,0.304,0.390083632019116
"454",13193,0.11,0.612910143684323
"455",13195,0.155,0.22835910825467
"456",13197,0.095,0.361931034482759
"457",13199,0.182,0.394134412062149
"458",13201,0.097,0.26393789696542
"459",13205,0.097,0.44554786877929
"460",13207,NA,0.281270044900577
"461",13209,0.136,0.247038064028233
"462",13211,0.161,0.286434307192893
"463",13213,NA,0.149522386119956
"464",13215,0.291,0.614129219763023
"465",13217,0.105,0.549267986871704
"466",13219,NA,0.324300699300699
"467",13221,0.218,0.299889339727038
"468",13223,0.142,0.34783067047744
"469",13225,0.074,0.471759738707879
"470",13227,0.09,0.164501660161939
"471",13229,0.198,0.121587266497181
"472",13231,NA,0.140391791044776
"473",13233,0.066,0.210220740400092
"474",13235,0.089,0.301396716491056
"475",13237,0.073,0.290847743568115
"476",13239,0.098,0.449367088607595
"477",13241,0.219,0.207357859531773
"478",13243,0.092,0.54376830458835
"479",13245,0.287,0.67945844682734
"480",13247,0.098,0.699111479152212
"481",13249,NA,0.203076923076923
"482",13251,0.281,0.401539157990041
"483",13253,NA,0.323045267489712
"484",13255,NA,0.391513025057098
"485",13257,NA,0.200757257046698
"486",13259,0.144,0.593969849246231
"487",13261,0.301,0.519756338491933
"488",13263,0.228,0.60022714366837
"489",13265,0.122,0.604525862068966
"490",13267,NA,0.251924251679902
"491",13269,0.215,0.361270171785528
"492",13271,0.129,0.343331795108445
"493",13273,0.125,0.53804347826087
"494",13275,0.153,0.398134601316752
"495",13277,0.148,0.326678542908041
"496",13279,NA,0.269195528678761
"497",13281,0.067,0.194259932322346
"498",13283,0.068,0.30939226519337
"499",13285,NA,0.385296369021866
"500",13287,0.127,0.371669744130836
"501",13289,0.062,0.45994599459946
"502",13291,0.077,0.179971718729914
"503",13293,0.293,0.325687717938783
"504",13295,0.18,0.196566055733461
"505",13297,0.17,0.248233613215118
"506",13299,0.178,0.293819155683981
"507",13301,0.098,0.553962264150943
"508",13303,0.08,0.500474833808167
"509",13305,0.245,0.210345097425464
"510",13307,NA,0.460100647016535
"511",13309,0.046,0.301531728665208
"512",13311,NA,0.162729481641469
"513",13313,0.155,0.290485774900723
"514",13315,0.074,0.262580054894785
"515",13317,NA,0.429423459244533
"516",13319,0.144,0.434800838574423
"517",13321,NA,0.257942918686053
"518",15001,NA,0.668811351265174
"519",15003,NA,0.625124962707464
"520",15007,NA,0.633638833328358
"521",15009,NA,0.665854963121446
"522",16001,0.486,0.464703591902509
"523",16003,0.354,0.228538283062645
"524",16005,0.394,0.371198139205623
"525",16007,0.356,0.105580693815988
"526",16009,0.386,0.196460888799517
"527",16011,0.343,0.205235393649846
"528",16013,0.672,0.671207104154124
"529",16015,0.278,0.249792531120332
"530",16017,0.348,0.303816905527932
"531",16019,0.378,0.263987406241319
"532",16021,0.264,0.193252019642009
"533",16023,0.341,0.132862190812721
"534",16025,0.318,0.197612732095491
"535",16027,0.318,0.286173953426657
"536",16029,0.281,0.126170960187354
