"","constituency","code","vaxed","pop","per_vax","lab_share"
"1","ALDERSHOT","E14000530",76180,119665,0.636610537751222,0.24
"2","ALDRIDGE-BROWNHILLS","E14000531",55819,80906,0.689924109460361,0.2
"3","ALTRINCHAM AND SALE WEST","E14000532",69957,109818,0.637026716931651,0.37
"4","AMBER VALLEY","E14000533",64245,93410,0.687774328230382,0.27
"5","ARUNDEL AND SOUTH DOWNS","E14000534",77802,109130,0.712929533583799,0.16
"6","ASHFIELD","E14000535",72526,109170,0.664340020152056,0.24
"7","ASHFORD","E14000536",83303,135038,0.616885617381774,0.22
"8","ASHTON-UNDER-LYNE","E14000537",59878,102783,0.582567156047206,0.48
"9","AYLESBURY","E14000538",79848,129939,0.614503728672685,0.25
"10","BANBURY","E14000539",89247,145581,0.613040163208111,0.28
"11","BARKING","E14000540",69003,166409,0.414659062911261,0.61
"12","BARNSLEY CENTRAL","E14000541",61017,96165,0.634503197629075,0.4
"13","BARNSLEY EAST","E14000542",64171,98635,0.650590561159832,0.38
"14","BARROW AND FURNESS","E14000543",61578,90507,0.680367264410488,0.39
"15","BASILDON AND BILLERICAY","E14000544",62381,104086,0.599321714735891,0.21
"16","BASINGSTOKE","E14000545",78495,126130,0.622334099738365,0.28
"17","BASSETLAW","E14000546",76884,115285,0.666903760246346,0.28
"18","BATH","E14000547",60099,104657,0.574247303094872,0.13
"19","BATLEY AND SPEN","E14000548",69681,115525,0.603168145423069,0.43
"20","BATTERSEA","E14000549",75977,149615,0.507816729605989,0.46
"21","BEACONSFIELD","E14000550",72784,110756,0.657156271443534,0.1
"22","BECKENHAM","E14000551",62238,100374,0.620060971964851,0.26
"23","BEDFORD","E14000552",68240,121903,0.559789340705315,0.43
"24","BERMONDSEY AND OLD SOUTHWARK","E14000553",85095,181542,0.468734507717222,0.54
"25","BERWICK-UPON-TWEED","E14000554",58372,78363,0.744892359914756,0.22
"26","BETHNAL GREEN AND BOW","E14000555",83644,183112,0.456791471886059,0.73
"27","BEVERLEY AND HOLDERNESS","E14000556",74240,104533,0.710206346321257,0.24
"28","BEXHILL AND BATTLE","E14000557",77079,110007,0.700673593498596,0.2
"29","BEXLEYHEATH AND CRAYFORD","E14000558",58518,99135,0.590285973672265,0.3
"30","BIRKENHEAD","E14000559",56710,96090,0.590175876782183,0.59
"31","BIRMINGHAM, EDGBASTON","E14000560",60715,121929,0.49795372716909,0.5
"32","BIRMINGHAM, ERDINGTON","E14000561",56012,116140,0.482280006888238,0.5
"33","BIRMINGHAM, HALL GREEN","E14000562",61311,139508,0.439480173180033,0.68
"34","BIRMINGHAM, HODGE HILL","E14000563",56266,153635,0.366231652943665,0.79
"35","BIRMINGHAM, LADYWOOD","E14000564",60024,173073,0.346813194432407,0.79
"36","BIRMINGHAM, NORTHFIELD","E14000565",63554,113606,0.559424678274035,0.43
"37","BIRMINGHAM, PERRY BARR","E14000566",55971,131339,0.426156739430025,0.63
"38","BIRMINGHAM, SELLY OAK","E14000567",63330,118015,0.536626699995763,0.56
"39","BIRMINGHAM, YARDLEY","E14000568",59920,126825,0.472462054011433,0.55
"40","BISHOP AUCKLAND","E14000569",64149,94265,0.680517689492388,0.36
"41","BLACKBURN","E14000570",64574,124999,0.516596132769062,0.65
"42","BLACKLEY AND BROUGHTON","E14000571",65519,151714,0.431858628735647,0.62
"43","BLACKPOOL NORTH AND CLEVELEYS","E14000572",58257,88556,0.657854916662903,0.36
"44","BLACKPOOL SOUTH","E14000573",53939,88989,0.60613109485442,0.38
"45","BLAYDON","E14000574",62054,90351,0.68681032860732,0.43
"46","BLYTH VALLEY","E14000575",60799,87851,0.692069526812444,0.41
"47","BOGNOR REGIS AND LITTLEHAMPTON","E14000576",74377,116118,0.640529461409945,0.2
"48","BOLSOVER","E14000577",70299,103422,0.679729651331438,0.36
"49","BOLTON NORTH EAST","E14000578",64343,109560,0.587285505659,0.45
"50","BOLTON SOUTH EAST","E14000579",64823,121191,0.534882953354622,0.53
"51","BOLTON WEST","E14000580",68843,104456,0.659062188864211,0.37
"52","BOOTLE","E14000581",62391,106804,0.584163514475113,0.79
"53","BOSTON AND SKEGNESS","E14000582",73414,123533,0.59428654691459,0.15
"54","BOSWORTH","E14000583",74456,110250,0.675337868480726,0.17
"55","BOURNEMOUTH EAST","E14000584",68273,119373,0.571930000921481,0.33
"56","BOURNEMOUTH WEST","E14000585",66838,115970,0.576338708286626,0.31
"57","BRACKNELL","E14000586",76798,121648,0.631313297382612,0.22
"58","BRADFORD EAST","E14000587",59877,134045,0.446693274646574,0.63
"59","BRADFORD SOUTH","E14000588",62232,115225,0.540091126057713,0.46
"60","BRADFORD WEST","E14000589",57248,141713,0.403971406998652,0.76
"61","BRAINTREE","E14000590",68815,104996,0.655405920225532,0.19
"62","BRENT CENTRAL","E14000591",81309,190294,0.427280944223149,0.65
"63","BRENT NORTH","E14000592",87455,182696,0.478691378026886,0.52
"64","BRENTFORD AND ISLEWORTH","E14000593",89594,174642,0.513015196802602,0.5
"65","BRENTWOOD AND ONGAR","E14000594",66575,103675,0.64215095249578,0.14
"66","BRIDGWATER AND WEST SOMERSET","E14000595",82631,122042,0.677070188951345,0.2
"67","BRIGG AND GOOLE","E14000596",62693,91073,0.688381847528905,0.21
"68","BRIGHTON, KEMPTOWN","E14000597",62542,104352,0.599336859858939,0.52
"69","BRIGHTON, PAVILION","E14000598",67985,126192,0.538742551033346,0.23
"70","BRISTOL EAST","E14000599",65818,113970,0.577502851627621,0.53
"71","BRISTOL NORTH WEST","E14000600",71276,121596,0.58617059771703,0.49
"72","BRISTOL SOUTH","E14000601",74642,126261,0.591172254298635,0.51
"73","BRISTOL WEST","E14000602",82846,162005,0.511379278417333,0.62
"74","BROADLAND","E14000603",74453,103099,0.722150554321574,0.21
"75","BROMLEY AND CHISLEHURST","E14000604",60496,103846,0.582554937118425,0.29
"76","BROMSGROVE","E14000605",71386,103712,0.688309935205184,0.21
